Processing file: /Users/adityamagarde/Documents/UCR/CS240_NR/AnamolyDetection/scripts/data_proc/final_csvs/type1_labelwise_nans_avg_labelled_merged.csv
Row numbers with NaN values: []
Initial check for NaN values: False
Initial check for Infinite values: False
After scaling, NaN values in X: False
After scaling, Infinite values in X: False
Epoch 1: {'accuracy': 0.7652610540390015, 'loss': 0.48135989904403687, 'val_accuracy': 0.7758842706680298, 'val_loss': 0.4496355652809143}
Epoch 2: {'accuracy': 0.7919644117355347, 'loss': 0.43052980303764343, 'val_accuracy': 0.7807074189186096, 'val_loss': 0.42233890295028687}
Epoch 3: {'accuracy': 0.8037477731704712, 'loss': 0.41023120284080505, 'val_accuracy': 0.7861736416816711, 'val_loss': 0.4167158603668213}
Epoch 4: {'accuracy': 0.8134035468101501, 'loss': 0.3952944576740265, 'val_accuracy': 0.7977492213249207, 'val_loss': 0.39593544602394104}
Epoch 5: {'accuracy': 0.8198679685592651, 'loss': 0.38218289613723755, 'val_accuracy': 0.7964630126953125, 'val_loss': 0.39952853322029114}
Epoch 6: {'accuracy': 0.8282145261764526, 'loss': 0.3707355856895447, 'val_accuracy': 0.7893890738487244, 'val_loss': 0.39840441942214966}
Epoch 7: {'accuracy': 0.83396977186203, 'loss': 0.36094027757644653, 'val_accuracy': 0.7926045060157776, 'val_loss': 0.3996436595916748}
Epoch 8: {'accuracy': 0.8399705290794373, 'loss': 0.3520859181880951, 'val_accuracy': 0.808038592338562, 'val_loss': 0.36873194575309753}
Epoch 9: {'accuracy': 0.8450984954833984, 'loss': 0.34314554929733276, 'val_accuracy': 0.8093247413635254, 'val_loss': 0.3739387094974518}
Epoch 10: {'accuracy': 0.8481261134147644, 'loss': 0.3366433084011078, 'val_accuracy': 0.8070739507675171, 'val_loss': 0.39816954731941223}
Epoch 11: {'accuracy': 0.8534722328186035, 'loss': 0.32908064126968384, 'val_accuracy': 0.7884244322776794, 'val_loss': 0.4332091808319092}
Epoch 12: {'accuracy': 0.8568272590637207, 'loss': 0.3226017355918884, 'val_accuracy': 0.8173633217811584, 'val_loss': 0.36549627780914307}
Epoch 13: {'accuracy': 0.8597185015678406, 'loss': 0.3163871169090271, 'val_accuracy': 0.8157556056976318, 'val_loss': 0.3708744943141937}
Epoch 14: {'accuracy': 0.863591730594635, 'loss': 0.3093116879463196, 'val_accuracy': 0.8302251100540161, 'val_loss': 0.3554984927177429}
Epoch 15: {'accuracy': 0.8657465577125549, 'loss': 0.30531981587409973, 'val_accuracy': 0.8167202472686768, 'val_loss': 0.3735588490962982}
Epoch 16: {'accuracy': 0.868283212184906, 'loss': 0.2990051805973053, 'val_accuracy': 0.8244373202323914, 'val_loss': 0.3670007884502411}
Epoch 17: {'accuracy': 0.872620165348053, 'loss': 0.2942274212837219, 'val_accuracy': 0.8318328261375427, 'val_loss': 0.35902467370033264}
Epoch 18: {'accuracy': 0.8750749826431274, 'loss': 0.2884719669818878, 'val_accuracy': 0.8401929140090942, 'val_loss': 0.34512025117874146}
Epoch 19: {'accuracy': 0.8779662847518921, 'loss': 0.284383088350296, 'val_accuracy': 0.8167202472686768, 'val_loss': 0.3920706510543823}
Epoch 20: {'accuracy': 0.8802574872970581, 'loss': 0.28027307987213135, 'val_accuracy': 0.8450160622596741, 'val_loss': 0.3299795985221863}
Epoch 21: {'accuracy': 0.8824395537376404, 'loss': 0.2751705050468445, 'val_accuracy': 0.8434083461761475, 'val_loss': 0.33663496375083923}
Epoch 22: {'accuracy': 0.8835851550102234, 'loss': 0.2722747325897217, 'val_accuracy': 0.8176848888397217, 'val_loss': 0.380691260099411}
Epoch 23: {'accuracy': 0.8866673707962036, 'loss': 0.2658211588859558, 'val_accuracy': 0.8524115681648254, 'val_loss': 0.3215247094631195}
Epoch 24: {'accuracy': 0.888631284236908, 'loss': 0.26337099075317383, 'val_accuracy': 0.8299035429954529, 'val_loss': 0.3796022832393646}
Epoch 25: {'accuracy': 0.8888221979141235, 'loss': 0.2606421709060669, 'val_accuracy': 0.8376205563545227, 'val_loss': 0.373992919921875}
Epoch 26: {'accuracy': 0.8917953372001648, 'loss': 0.25718533992767334, 'val_accuracy': 0.8418006300926208, 'val_loss': 0.34808945655822754}
Epoch 27: {'accuracy': 0.8931045532226562, 'loss': 0.2516583204269409, 'val_accuracy': 0.8594855070114136, 'val_loss': 0.3109292685985565}
Epoch 28: {'accuracy': 0.8953957557678223, 'loss': 0.2486666738986969, 'val_accuracy': 0.8501607775688171, 'val_loss': 0.33185362815856934}
Epoch 29: {'accuracy': 0.8967050313949585, 'loss': 0.24657881259918213, 'val_accuracy': 0.8585209250450134, 'val_loss': 0.31705746054649353}
Epoch 30: {'accuracy': 0.8992417454719543, 'loss': 0.2434583455324173, 'val_accuracy': 0.8556270003318787, 'val_loss': 0.34185871481895447}
Epoch 31: {'accuracy': 0.9001418352127075, 'loss': 0.23988166451454163, 'val_accuracy': 0.8581993579864502, 'val_loss': 0.3156355321407318}
Epoch 32: {'accuracy': 0.902487576007843, 'loss': 0.23645152151584625, 'val_accuracy': 0.8620578646659851, 'val_loss': 0.31190329790115356}
Epoch 33: {'accuracy': 0.9029785394668579, 'loss': 0.23540163040161133, 'val_accuracy': 0.8649517893791199, 'val_loss': 0.3171602487564087}
Epoch 34: {'accuracy': 0.9041241407394409, 'loss': 0.23230603337287903, 'val_accuracy': 0.8591639995574951, 'val_loss': 0.31227192282676697}
Epoch 35: {'accuracy': 0.9045605659484863, 'loss': 0.22946912050247192, 'val_accuracy': 0.86302250623703, 'val_loss': 0.30814191699028015}
Epoch 36: {'accuracy': 0.9069881439208984, 'loss': 0.22617220878601074, 'val_accuracy': 0.8588424324989319, 'val_loss': 0.3233565390110016}
Epoch 37: {'accuracy': 0.9075064063072205, 'loss': 0.22188103199005127, 'val_accuracy': 0.8668810129165649, 'val_loss': 0.30872610211372375}
Epoch 38: {'accuracy': 0.9085701704025269, 'loss': 0.22302091121673584, 'val_accuracy': 0.8588424324989319, 'val_loss': 0.3451693654060364}
Epoch 39: {'accuracy': 0.9115978479385376, 'loss': 0.2183089554309845, 'val_accuracy': 0.8697749376296997, 'val_loss': 0.3052372336387634}
Epoch 40: {'accuracy': 0.9117887616157532, 'loss': 0.21573284268379211, 'val_accuracy': 0.8591639995574951, 'val_loss': 0.3147646188735962}
Epoch 41: {'accuracy': 0.913807213306427, 'loss': 0.2118661105632782, 'val_accuracy': 0.8668810129165649, 'val_loss': 0.29980242252349854}
Epoch 42: {'accuracy': 0.9144890904426575, 'loss': 0.21128396689891815, 'val_accuracy': 0.8684887290000916, 'val_loss': 0.3181982934474945}
Epoch 43: {'accuracy': 0.9144618511199951, 'loss': 0.21075282990932465, 'val_accuracy': 0.8623794317245483, 'val_loss': 0.3242977559566498}
Epoch 44: {'accuracy': 0.9164530038833618, 'loss': 0.20883582532405853, 'val_accuracy': 0.8733118772506714, 'val_loss': 0.29586800932884216}
Epoch 45: {'accuracy': 0.9183623194694519, 'loss': 0.20491430163383484, 'val_accuracy': 0.8803858757019043, 'val_loss': 0.29084286093711853}
Epoch 46: {'accuracy': 0.9175986051559448, 'loss': 0.20293095707893372, 'val_accuracy': 0.8826366662979126, 'val_loss': 0.28170347213745117}
Epoch 47: {'accuracy': 0.9188532829284668, 'loss': 0.19970150291919708, 'val_accuracy': 0.8774919509887695, 'val_loss': 0.2992893159389496}
Epoch 48: {'accuracy': 0.9195625185966492, 'loss': 0.2017870545387268, 'val_accuracy': 0.8672025799751282, 'val_loss': 0.31237852573394775}
Epoch 49: {'accuracy': 0.9206262826919556, 'loss': 0.19812150299549103, 'val_accuracy': 0.8543408513069153, 'val_loss': 0.34828832745552063}
Epoch 50: {'accuracy': 0.9226446747779846, 'loss': 0.1943030059337616, 'val_accuracy': 0.8797427415847778, 'val_loss': 0.28198105096817017}
Epoch 51: {'accuracy': 0.922317385673523, 'loss': 0.19458995759487152, 'val_accuracy': 0.86591637134552, 'val_loss': 0.33762434124946594}
Epoch 52: {'accuracy': 0.9231083989143372, 'loss': 0.1909281462430954, 'val_accuracy': 0.8765273094177246, 'val_loss': 0.2993925213813782}
Epoch 53: {'accuracy': 0.9240357875823975, 'loss': 0.19056013226509094, 'val_accuracy': 0.8755627274513245, 'val_loss': 0.29173681139945984}
Epoch 54: {'accuracy': 0.9276635050773621, 'loss': 0.1845238208770752, 'val_accuracy': 0.8739550113677979, 'val_loss': 0.3146863281726837}
Epoch 55: {'accuracy': 0.9258905649185181, 'loss': 0.18846309185028076, 'val_accuracy': 0.8790996670722961, 'val_loss': 0.29903993010520935}
Epoch 56: {'accuracy': 0.9274452924728394, 'loss': 0.18582314252853394, 'val_accuracy': 0.8855305314064026, 'val_loss': 0.28634193539619446}
Epoch 57: {'accuracy': 0.9289182424545288, 'loss': 0.18117743730545044, 'val_accuracy': 0.8784565925598145, 'val_loss': 0.28796398639678955}
Epoch 58: {'accuracy': 0.9296001195907593, 'loss': 0.1800755262374878, 'val_accuracy': 0.8758842349052429, 'val_loss': 0.30108141899108887}
Epoch 59: {'accuracy': 0.9277453422546387, 'loss': 0.18182756006717682, 'val_accuracy': 0.8752411603927612, 'val_loss': 0.31199732422828674}
Epoch 60: {'accuracy': 0.9314276576042175, 'loss': 0.17694933712482452, 'val_accuracy': 0.8704180121421814, 'val_loss': 0.331405371427536}
Epoch 61: {'accuracy': 0.9309366941452026, 'loss': 0.17709706723690033, 'val_accuracy': 0.8871382474899292, 'val_loss': 0.273581862449646}
Epoch 62: {'accuracy': 0.9325459599494934, 'loss': 0.1747518926858902, 'val_accuracy': 0.8848874568939209, 'val_loss': 0.28847190737724304}
Epoch 63: {'accuracy': 0.9317549467086792, 'loss': 0.17335198819637299, 'val_accuracy': 0.882958173751831, 'val_loss': 0.2965236008167267}
Epoch 64: {'accuracy': 0.9331187605857849, 'loss': 0.1726786494255066, 'val_accuracy': 0.881028950214386, 'val_loss': 0.28516554832458496}
Epoch 65: {'accuracy': 0.9324368834495544, 'loss': 0.17201688885688782, 'val_accuracy': 0.8887459635734558, 'val_loss': 0.2903098464012146}
Epoch 66: {'accuracy': 0.934291660785675, 'loss': 0.16777706146240234, 'val_accuracy': 0.8858520984649658, 'val_loss': 0.2912193238735199}
Epoch 67: {'accuracy': 0.9362009763717651, 'loss': 0.16704025864601135, 'val_accuracy': 0.889067530632019, 'val_loss': 0.27785152196884155}
Epoch 68: {'accuracy': 0.938219428062439, 'loss': 0.16368398070335388, 'val_accuracy': 0.8852090239524841, 'val_loss': 0.2985450029373169}
Epoch 69: {'accuracy': 0.9351099133491516, 'loss': 0.16776438057422638, 'val_accuracy': 0.8803858757019043, 'val_loss': 0.3122265040874481}
Epoch 70: {'accuracy': 0.9381375908851624, 'loss': 0.16318023204803467, 'val_accuracy': 0.892926037311554, 'val_loss': 0.285643607378006}
Epoch 71: {'accuracy': 0.9384103417396545, 'loss': 0.16209030151367188, 'val_accuracy': 0.8871382474899292, 'val_loss': 0.29632675647735596}
Epoch 72: {'accuracy': 0.9409470558166504, 'loss': 0.156842440366745, 'val_accuracy': 0.8813504576683044, 'val_loss': 0.30717146396636963}
Epoch 73: {'accuracy': 0.9371556639671326, 'loss': 0.1615123748779297, 'val_accuracy': 0.8909968137741089, 'val_loss': 0.2849006950855255}
Epoch 74: {'accuracy': 0.9399105310440063, 'loss': 0.15609614551067352, 'val_accuracy': 0.8871382474899292, 'val_loss': 0.2962215542793274}
Epoch 75: {'accuracy': 0.939365029335022, 'loss': 0.15684039890766144, 'val_accuracy': 0.8935691118240356, 'val_loss': 0.2637505531311035}
Epoch 76: {'accuracy': 0.9425836205482483, 'loss': 0.15597358345985413, 'val_accuracy': 0.8983922600746155, 'val_loss': 0.2582962214946747}
Epoch 77: {'accuracy': 0.9432927966117859, 'loss': 0.15251637995243073, 'val_accuracy': 0.8794212341308594, 'val_loss': 0.31244128942489624}
Epoch 78: {'accuracy': 0.9418471455574036, 'loss': 0.15185491740703583, 'val_accuracy': 0.8887459635734558, 'val_loss': 0.2853509485721588}
Epoch 79: {'accuracy': 0.9433473348617554, 'loss': 0.1505737453699112, 'val_accuracy': 0.890032172203064, 'val_loss': 0.2863163650035858}
Epoch 80: {'accuracy': 0.9437564611434937, 'loss': 0.1495383232831955, 'val_accuracy': 0.8945337533950806, 'val_loss': 0.27950429916381836}
Epoch 81: {'accuracy': 0.945093035697937, 'loss': 0.14796346426010132, 'val_accuracy': 0.889067530632019, 'val_loss': 0.26182064414024353}
Epoch 82: {'accuracy': 0.9442201852798462, 'loss': 0.14661626517772675, 'val_accuracy': 0.8945337533950806, 'val_loss': 0.2789885997772217}
Epoch 83: {'accuracy': 0.9456385374069214, 'loss': 0.1452954262495041, 'val_accuracy': 0.9038585424423218, 'val_loss': 0.25467225909233093}
Epoch 84: {'accuracy': 0.945720374584198, 'loss': 0.14479197561740875, 'val_accuracy': 0.8977491855621338, 'val_loss': 0.27190619707107544}
Epoch 85: {'accuracy': 0.9468386769294739, 'loss': 0.14461055397987366, 'val_accuracy': 0.9006431102752686, 'val_loss': 0.26409903168678284}
Epoch 86: {'accuracy': 0.9464840888977051, 'loss': 0.142841637134552, 'val_accuracy': 0.8916398882865906, 'val_loss': 0.2782210111618042}
Epoch 87: {'accuracy': 0.9461022019386292, 'loss': 0.14255155622959137, 'val_accuracy': 0.9048231244087219, 'val_loss': 0.26171115040779114}
Epoch 88: {'accuracy': 0.9476024508476257, 'loss': 0.14060768485069275, 'val_accuracy': 0.8964630365371704, 'val_loss': 0.27157062292099}
