Processing file: /Users/adityamagarde/Documents/UCR/CS240_NR/AnamolyDetection/scripts/data_proc/final_csvs/type1_labelwise_nans_avg_labelled_merged.csv
Row numbers with NaN values: []
Initial check for NaN values: False
Initial check for Infinite values: False
After scaling, NaN values in X: False
After scaling, Infinite values in X: False
Epoch 1: {'accuracy': 0.7364028096199036, 'loss': 0.5210152864456177, 'val_accuracy': 0.7183279991149902, 'val_loss': 0.4742964804172516}
Epoch 2: {'accuracy': 0.7640063166618347, 'loss': 0.48063501715660095, 'val_accuracy': 0.7286173701286316, 'val_loss': 0.45887917280197144}
Epoch 3: {'accuracy': 0.7701980471611023, 'loss': 0.47020700573921204, 'val_accuracy': 0.7517684698104858, 'val_loss': 0.4365488290786743}
Epoch 4: {'accuracy': 0.7741258144378662, 'loss': 0.4627774953842163, 'val_accuracy': 0.7032154202461243, 'val_loss': 0.5297334790229797}
Epoch 5: {'accuracy': 0.7754350304603577, 'loss': 0.4568807780742645, 'val_accuracy': 0.7286173701286316, 'val_loss': 0.4852134585380554}
Epoch 6: {'accuracy': 0.7801538109779358, 'loss': 0.4506267011165619, 'val_accuracy': 0.7244372963905334, 'val_loss': 0.4783255159854889}
Epoch 7: {'accuracy': 0.782608687877655, 'loss': 0.446122407913208, 'val_accuracy': 0.7327974438667297, 'val_loss': 0.4693036377429962}
Epoch 8: {'accuracy': 0.7858818173408508, 'loss': 0.442180335521698, 'val_accuracy': 0.7627009749412537, 'val_loss': 0.43206295371055603}
Epoch 9: {'accuracy': 0.7910643219947815, 'loss': 0.43637439608573914, 'val_accuracy': 0.7549839019775391, 'val_loss': 0.43570590019226074}
Epoch 10: {'accuracy': 0.7921280860900879, 'loss': 0.433274507522583, 'val_accuracy': 0.770096480846405, 'val_loss': 0.4228324592113495}
Epoch 11: {'accuracy': 0.7953466773033142, 'loss': 0.4298632740974426, 'val_accuracy': 0.738906741142273, 'val_loss': 0.4633200764656067}
Epoch 12: {'accuracy': 0.7964104413986206, 'loss': 0.42770588397979736, 'val_accuracy': 0.7540193200111389, 'val_loss': 0.44680964946746826}
Epoch 13: {'accuracy': 0.7990835309028625, 'loss': 0.42273372411727905, 'val_accuracy': 0.7382636666297913, 'val_loss': 0.47497278451919556}
Epoch 14: {'accuracy': 0.8008291721343994, 'loss': 0.42059335112571716, 'val_accuracy': 0.7511253952980042, 'val_loss': 0.44931143522262573}
Epoch 15: {'accuracy': 0.8032567501068115, 'loss': 0.41682350635528564, 'val_accuracy': 0.7617363333702087, 'val_loss': 0.43504002690315247}
Epoch 16: {'accuracy': 0.8044023513793945, 'loss': 0.4140504002571106, 'val_accuracy': 0.7508038878440857, 'val_loss': 0.4465698003768921}
Epoch 17: {'accuracy': 0.8063117265701294, 'loss': 0.41275423765182495, 'val_accuracy': 0.7655948400497437, 'val_loss': 0.4325696527957916}
Epoch 18: {'accuracy': 0.8068299889564514, 'loss': 0.41079333424568176, 'val_accuracy': 0.7723472714424133, 'val_loss': 0.41977980732917786}
Epoch 19: {'accuracy': 0.808275580406189, 'loss': 0.4087892174720764, 'val_accuracy': 0.7726688385009766, 'val_loss': 0.4152875244617462}
Epoch 20: {'accuracy': 0.8087120056152344, 'loss': 0.4064038395881653, 'val_accuracy': 0.7794212102890015, 'val_loss': 0.40681639313697815}
Epoch 21: {'accuracy': 0.8098576068878174, 'loss': 0.40456709265708923, 'val_accuracy': 0.770096480846405, 'val_loss': 0.42018064856529236}
Epoch 22: {'accuracy': 0.8101849555969238, 'loss': 0.4025912582874298, 'val_accuracy': 0.7543408274650574, 'val_loss': 0.4512239694595337}
Epoch 23: {'accuracy': 0.8126670718193054, 'loss': 0.40039771795272827, 'val_accuracy': 0.764951765537262, 'val_loss': 0.42375490069389343}
Epoch 24: {'accuracy': 0.8123670220375061, 'loss': 0.3989424407482147, 'val_accuracy': 0.7736334204673767, 'val_loss': 0.4161933958530426}
Epoch 25: {'accuracy': 0.8136489987373352, 'loss': 0.39663687348365784, 'val_accuracy': 0.7752411365509033, 'val_loss': 0.41876158118247986}
Epoch 26: {'accuracy': 0.8150128126144409, 'loss': 0.39613133668899536, 'val_accuracy': 0.7543408274650574, 'val_loss': 0.4463978111743927}
Epoch 27: {'accuracy': 0.8154492378234863, 'loss': 0.39458951354026794, 'val_accuracy': 0.7604501843452454, 'val_loss': 0.43734267354011536}
Epoch 28: {'accuracy': 0.8164857625961304, 'loss': 0.3940420150756836, 'val_accuracy': 0.7553054690361023, 'val_loss': 0.4457857608795166}
Epoch 29: {'accuracy': 0.8173313140869141, 'loss': 0.39092719554901123, 'val_accuracy': 0.770096480846405, 'val_loss': 0.41896477341651917}
Epoch 30: {'accuracy': 0.8180950284004211, 'loss': 0.38995465636253357, 'val_accuracy': 0.7601286172866821, 'val_loss': 0.4435317814350128}
Epoch 31: {'accuracy': 0.8178495168685913, 'loss': 0.388850599527359, 'val_accuracy': 0.7807074189186096, 'val_loss': 0.4041233956813812}
Epoch 32: {'accuracy': 0.8191042542457581, 'loss': 0.388190358877182, 'val_accuracy': 0.7745980620384216, 'val_loss': 0.41122958064079285}
Epoch 33: {'accuracy': 0.8218591213226318, 'loss': 0.3867172300815582, 'val_accuracy': 0.781993567943573, 'val_loss': 0.4064275324344635}
Epoch 34: {'accuracy': 0.8199771046638489, 'loss': 0.3871389925479889, 'val_accuracy': 0.779099702835083, 'val_loss': 0.41554325819015503}
Epoch 35: {'accuracy': 0.8224319219589233, 'loss': 0.3837431073188782, 'val_accuracy': 0.7871382832527161, 'val_loss': 0.392290323972702}
Epoch 36: {'accuracy': 0.8230593204498291, 'loss': 0.3826087713241577, 'val_accuracy': 0.7681671977043152, 'val_loss': 0.4446832835674286}
Epoch 37: {'accuracy': 0.8236048221588135, 'loss': 0.383212149143219, 'val_accuracy': 0.7813504934310913, 'val_loss': 0.40540048480033875}
Epoch 38: {'accuracy': 0.8234139084815979, 'loss': 0.38057199120521545, 'val_accuracy': 0.7672025561332703, 'val_loss': 0.4312826991081238}
Epoch 39: {'accuracy': 0.8232775330543518, 'loss': 0.38049906492233276, 'val_accuracy': 0.764951765537262, 'val_loss': 0.430499792098999}
Epoch 40: {'accuracy': 0.8241503238677979, 'loss': 0.3786708116531372, 'val_accuracy': 0.7935691475868225, 'val_loss': 0.38531771302223206}
Epoch 41: {'accuracy': 0.8245049118995667, 'loss': 0.37892788648605347, 'val_accuracy': 0.781993567943573, 'val_loss': 0.39543217420578003}
Epoch 42: {'accuracy': 0.8249686360359192, 'loss': 0.37682825326919556, 'val_accuracy': 0.7784565687179565, 'val_loss': 0.4153560698032379}
Epoch 43: {'accuracy': 0.8251595497131348, 'loss': 0.37669435143470764, 'val_accuracy': 0.7752411365509033, 'val_loss': 0.4080636501312256}
Epoch 44: {'accuracy': 0.8249413371086121, 'loss': 0.3760699927806854, 'val_accuracy': 0.7913183569908142, 'val_loss': 0.38658177852630615}
Epoch 45: {'accuracy': 0.8266052007675171, 'loss': 0.37481918931007385, 'val_accuracy': 0.7742765545845032, 'val_loss': 0.41577911376953125}
Epoch 46: {'accuracy': 0.8271507024765015, 'loss': 0.3746945559978485, 'val_accuracy': 0.7742765545845032, 'val_loss': 0.4192878305912018}
Epoch 47: {'accuracy': 0.8271234631538391, 'loss': 0.3733574151992798, 'val_accuracy': 0.7794212102890015, 'val_loss': 0.41111209988594055}
Epoch 48: {'accuracy': 0.8287054896354675, 'loss': 0.37246817350387573, 'val_accuracy': 0.7794212102890015, 'val_loss': 0.41726353764533997}
Epoch 49: {'accuracy': 0.8275598883628845, 'loss': 0.37233883142471313, 'val_accuracy': 0.7813504934310913, 'val_loss': 0.4018535614013672}
Epoch 50: {'accuracy': 0.8292236924171448, 'loss': 0.3699849843978882, 'val_accuracy': 0.7623794078826904, 'val_loss': 0.4423891603946686}
Epoch 51: {'accuracy': 0.828132688999176, 'loss': 0.3714269995689392, 'val_accuracy': 0.7778134942054749, 'val_loss': 0.4065380394458771}
Epoch 52: {'accuracy': 0.8294419050216675, 'loss': 0.36864447593688965, 'val_accuracy': 0.7745980620384216, 'val_loss': 0.4120609164237976}
Epoch 53: {'accuracy': 0.8309693932533264, 'loss': 0.3671624958515167, 'val_accuracy': 0.7954983711242676, 'val_loss': 0.37832605838775635}
Epoch 54: {'accuracy': 0.8298783302307129, 'loss': 0.36705538630485535, 'val_accuracy': 0.7745980620384216, 'val_loss': 0.42915022373199463}
Epoch 55: {'accuracy': 0.8312421441078186, 'loss': 0.3670442998409271, 'val_accuracy': 0.7797427773475647, 'val_loss': 0.4072134792804718}
Epoch 56: {'accuracy': 0.8315421938896179, 'loss': 0.3658861219882965, 'val_accuracy': 0.7906752228736877, 'val_loss': 0.39864131808280945}
Epoch 57: {'accuracy': 0.82990562915802, 'loss': 0.3656465709209442, 'val_accuracy': 0.7768488526344299, 'val_loss': 0.42661023139953613}
Epoch 58: {'accuracy': 0.8307511806488037, 'loss': 0.3639823794364929, 'val_accuracy': 0.7874597907066345, 'val_loss': 0.4034233093261719}
Epoch 59: {'accuracy': 0.8321422934532166, 'loss': 0.3645472526550293, 'val_accuracy': 0.7974276542663574, 'val_loss': 0.38151153922080994}
